,Summoner ID
103,wV2Jsk7URtXYh8JhNG_to_li_mxUHFn9Sz-GjDAYA8TiwH76
104,gLGc253esgbLfldqnUTZv8WM6Zl35RmBivwz-wG7BxWcS3me
105,JU76vkDRSq-yGVmF90obNMRW6hS7Iwb57gJ1j5B9NLuDcmq-
106,33WpdB53gg-IkxMf-I9tfNv-G6CM90RV5meMO-5YYQAvtJ2e
107,Bi2vmRfUOv_E-g0iy0yGejcjjoDnHDLuHs3ghQZ6tAGEvh_I
108,DorzqgFqSqwN4fgv9tlgz7JJbCUCbhgeiCEHWWBt8J4HaIry
109,q1z-S0uZpgCWw74bwm2Bc0fHyYkPWfTIbuK8Yox162fhqy7Y
110,65lUvopQ_5tzeTLByKzgFdtJBeQy27gqeZx-tbmUv6cBUGbp
111,_TDBrD57hc498SigMQXRGuYeD-xqJuFjW_oSaJ3Q5S8Jhxrb
112,jO8I6FwoKCQdERYhbfRsn45mjGi092AggmtvSpyR4Ov8I8GM
113,3c2yjX-1-oxWfkH0eyDfRCGlJpebkK_JEUQiAheVBs0fWcIv
114,MN5H_6VZPEjtMoStBdekTACSV3p1pU5eIrZPoPCjDMmQpAXy
115,yzKsn7m0-zCsuW1k1Mbj8XryZ-uWVjq7KLR4SXAMKM9QZKGu
116,IDxR5IMiD8VLK3T3CdrF1XIcZ-EDGptHERIlk-IreM3RzcOe
117,Z6HLnSolNWdmvHDrS-PoNoQerN7gv3y3fu6Zp6ohHFW_-jVe
118,zSwfhsOH3r7XADhSJHXJn_jJRCJkBruwSjY-qR28ehcvUsLM
119,g4mgEuzhdGFNiZcP-SgKKN7VwXeGFNCX5Op_-IJuwwly2KiW
120,pHmb3nFNyaeInzjY7UHF1IR8fetW8q5ObRf6pRdaEp9Y5zEJ
121,AJ_SUhPu7jzQ7o4_grgWTn76yKXb9aJ--3eWmLHp-8wwdHxH
122,sGojG58Nzwy0qcrLEE51n2Cjd0-3ezZp9h8-iB0C6Mmh7bnt
123,sg2xZe7f4TB50Auq9SkZtkxMI0MHqK4qsYc_CUvoaJS9P7o4
124,939DWeG3x5geQG7uhmTm9_bJXO5GqH3yVvJs7gfz0gK0xzDY
125,vxfxbAoc8uWtQxF9U5m_cpb2xR6eCXiZrvS1kYPwqZminWN2
126,Hjp-99iEuT1T1HLLpB9TUSwcevtxIYb-l3U2wMHO22ZgB7Es
127,BHjDCFFgP6khbRk_sngqqIQkfWTF9nxBiSmntOnxxJWti1Co
128,U48_AIzVe1U76eKPm_XNkNLB8tKFA8sEQCvoFFJ4UgufTqhX
129,Dn9ufBPzCTqlpoZPzFwwml6uzVeefNVTS5SHiFhXD0uOmkKR
130,6cNpOC6ZwX2LCe6bKh4mcquu0CVOzK9ADrmu4wvm1WET_84k
131,CvMzN6pZJ15CaJeMp2FOU8vAspkPWwMxAYnAc4J6sxnBoXFE
132,wIWUWlsXtfRufWY1pYGUdEZI1lsDH3EuwsoNAAM8f52kAaOn
133,2mQZOEEmSNZ_aHJkX9jg4wMm99Wc1awGLy68Wz9rkyKLps9-
134,IfpBbNZ2nLY9-w0Ki6By26kWjaAVb9vitF073CbA4N_JXqXt
135,65g0MlnVGk_g4LJaeVN-ZUiSZoSE1YOWazxoQPGAZIWJ-ikA
136,E2sdIXY3RfRloj7ipOzR-VdYtJf8aIaAJXCNH2O36hIGQybd
137,oyJ0Gm0LvStz1TwGB0qTknOds46kAfJhvOazEXdjbOCqAv6f
138,BWJuOZfSdgzwSosfDkyMb8cTRFuT9pGJslFbw51fNy4Z63f_
139,35LqKn-Gko1uE6P-x_sZPGOgnJjfDzUA4XmMFWuIq14lRotE
140,K5A5ClobWbZEEe_hcB3ioVeje9LaZuMEE_JlHxkviMViUDcE
141,xrJvziI8pTufclmfx0kLxJxdVbC4UEdbn5IO031wG1Tw63Vy
142,IcP8nBTgixPIHNXJpPTHA52FaBgnHk_7oiLQhd04Z90Qu3nf
143,PLlh7P3C9l4W0YZahKYXgrDyUYTG8VUpsuHbO1aGosEXJuxT
144,N2v_5p753qcAgg-rgQ2oNeqQkD_Pwmy1KY0XVdwp92I0OWv7
145,Ny6MbbgbnxXA5cGMj_qIadKe9r_wdR_0xtEgj6q3kxoNOPeI
146,W3MHqDeSCx3dqNGq7qplPZCh3rgY-hFTmOoAnFvn1fjyloAA
147,4M27vsMnRfFB6FIj_PrPHSu2NHGv5iJ46kwTWwOWa6Gm_2QF
148,7kpZz-gs7OYP178ISgMbVhcCN1ISQjuiqfkYmmvt6Hmk7rnR
149,tafvCwPImdGnxzfWFoRV1wt2ZqSR3MUhB6frYfimM8-4c6I1
150,SrboT9BloP4eMge4MubdTsEqEUzHWAjgKiDQUYumdjn3kQDM
151,6ODRJLj3IaTFXO-jXaKvARQC7-24kOIENhgR4UQg24AD7h7n
152,6BusZfkJlp2CAHuw_aFyCj8giVZQZZTGkD5ZoM6Jv6JHIcsj
153,QCFbb3kbvjMk27NUeP3ec6E1Hln3EXArsviu5oXaa1Naq27P
154,m2XGUnkJdhS2TiLnWRNCLEULRX1ER3IxZwQnsaTPsa1YJRfB
